t f_inst
1.740870435217608839e-05 2.610684500000000000e+06
1.741870935467734136e-05 2.610684500000000000e+06
1.742871435717859095e-05 2.610684500000000000e+06
1.743871935967984053e-05 2.610684500000000000e+06
1.744872436218109012e-05 2.610684500000000000e+06
1.745872936468234309e-05 2.610684500000000000e+06
1.746873436718359267e-05 2.610684500000000000e+06
1.747873936968484225e-05 2.610684500000000000e+06
1.748874437218609523e-05 2.610684500000000000e+06
1.749874937468734481e-05 2.610684500000000000e+06
1.750875437718859439e-05 2.610684500000000000e+06
1.751875937968984737e-05 2.610684500000000000e+06
1.752876438219109695e-05 2.610684500000000000e+06
1.753876938469234653e-05 2.610684500000000000e+06
1.754877438719359951e-05 2.610684500000000000e+06
1.755877938969484909e-05 2.610684500000000000e+06
1.756878439219609867e-05 2.610684500000000000e+06
1.757878939469734826e-05 2.610684500000000000e+06
1.758879439719860123e-05 2.610684500000000000e+06
1.759879939969985081e-05 2.610684500000000000e+06
1.760880440220110040e-05 2.610684500000000000e+06
1.761880940470235337e-05 2.610684500000000000e+06
1.762881440720360295e-05 2.610684500000000000e+06
1.763881940970485254e-05 2.610684500000000000e+06
1.764882441220610551e-05 2.610684500000000000e+06
1.765882941470735509e-05 2.610684500000000000e+06
1.766883441720860467e-05 2.610684500000000000e+06
1.767883941970985765e-05 2.610684500000000000e+06
1.768884442221110723e-05 2.610684500000000000e+06
1.769884942471235681e-05 2.610684500000000000e+06
1.770885442721360640e-05 2.610684500000000000e+06
1.771885942971485937e-05 2.610684500000000000e+06
1.772886443221610895e-05 2.610684500000000000e+06
1.773886943471735854e-05 2.610684500000000000e+06
1.774887443721861151e-05 2.610684500000000000e+06
1.775887943971986109e-05 2.610684500000000000e+06
1.776888444222111068e-05 2.610684500000000000e+06
1.777888944472236365e-05 2.610684500000000000e+06
1.778889444722361323e-05 2.610684500000000000e+06
1.779889944972486282e-05 2.610684500000000000e+06
1.780890445222611579e-05 2.610684500000000000e+06
1.781890945472736537e-05 2.610684500000000000e+06
1.782891445722861496e-05 2.610684500000000000e+06
1.783891945972986454e-05 2.610684500000000000e+06
1.784892446223111751e-05 2.610684500000000000e+06
1.785892946473236709e-05 2.610684500000000000e+06
1.786893446723361668e-05 2.610684500000000000e+06
1.787893946973486965e-05 2.610684500000000000e+06
1.788894447223611923e-05 2.554742750000000000e+06
1.789894947473736882e-05 2.554742750000000000e+06
1.790895447723862179e-05 2.554742750000000000e+06
1.791895947973987137e-05 2.554742750000000000e+06
1.792896448224112096e-05 2.554742750000000000e+06
1.793896948474237393e-05 2.554742750000000000e+06
1.794897448724362351e-05 2.554742750000000000e+06
1.795897948974487310e-05 2.554742750000000000e+06
1.796898449224612268e-05 2.554742750000000000e+06
1.797898949474737565e-05 2.554742750000000000e+06
